ids,englishs,czechs,pronunciations
"6388,7842,7843","contract,contract,contract","smlouva,smlouva,nasmlouvat","kˈɑːntɹækt,kˈɑːntɹækt,kˈɑːntɹækt"
"6475,6476,8121,8122,8123","cast,cast,cast,cast,cast","obsazení,odlitek,vrhat,odlitek,obsazení","kˈæst,kˈæst,kˈæst,kˈæst,kˈæst"
"6486,6488","buzz,buzz","vzrušení,bzučet","bˈʌz,bˈʌz"
"6609,6631","disguise,disguise","přestrojit se,přestrojení","dɪsɡˈaɪz,dɪsɡˈaɪz"
"6637,6638","crack,crack","trhlina,prasknout","kɹˈæk,kɹˈæk"
"6695,6696","debit,debit","debetní,dlužit","dˈɛbɪt,dˈɛbɪt"
"6712,6724","dash,dash","sprint,pomlčka","dˈæʃ,dˈæʃ"
"6713,6735","darling,darling","rozkošný,miláček","dˈɑːɹlɪŋ,dˈɑːɹlɪŋ"
"6731,6732","damn,damn","sakra,proklít","dˈæm,dˈæm"
"6740,6741,6742","neither,neither,neither","ani,žádný,ani jeden ze dvou","nˈiːðɚ,nˈiːðɚ,nˈiːðɚ"
"6784,7947","awe,awe","úžas,hrůza","ˈɔː,ˈɔː"
"6802,6803","attribute,attribute","přisuzovat,atribut","ˈætɹɪbjˌuːt,ˈætɹɪbjˌuːt"
"6814,6841","mutter,mutter","reptat,mumlat","mˈʌɾɚ,mˈʌɾɚ"
"6874,6877","ban,ban","zakázat,zákaz","bˈæn,bˈæn"
"6984,6985","peel,peel","kůra,loupat","pˈiːl,pˈiːl"
"7040,7041","pitch,pitch","hřiště,hodit","pˈɪtʃ,pˈɪtʃ"
"7175,7176","implement,implement","uskutečnit,nářadí","ˈɪmplɪmənt,ˈɪmplɪmənt"
"7199,8621","imperative,imperative","imperativ,rozkazovací","ɪmpˈɛɹətˌɪv,ɪmpˈɛɹətˌɪv"
"7307,7331","hijack,hijack","unést,únos","hˈaɪdʒæk,hˈaɪdʒæk"
"7314,8132,8133","humble,humble,humble","pokořit,pokořit,pokorný","hˈʌmbəl,hˈʌmbəl,hˈʌmbəl"
"7385,7386","leak,leak","prosakovat,unikat","lˈiːk,lˈiːk"
"7412,7413","manual,manual","manuál,manuální","mˈænjuːəl,mˈænjuːəl"
"7414,7415","manufacture,manufacture","výroba,vyrobit","mˌænjuːfˈæktʃɚ,mˌænjuːfˈæktʃɚ"
"7489,7490","insult,insult","urážka,urazit","ˈɪnsʌlt,ˈɪnsʌlt"
"7492,7493","intellectual,intellectual","intelektuální,intelektuál","ˌɪntəlˈɛktʃuːəl,ˌɪntəlˈɛktʃuːəl"
"7536,9448,9449","lark,lark,lark","skřivan,skřivan,legrace","lˈɑːɹk,lˈɑːɹk,lˈɑːɹk"
"7567,7585","honk,honk","troubit,troubení","hˈɔŋk,hˈɔŋk"
"7570,7571","quip,quip","vtípek,vtípkovat","kwˈɪp,kwˈɪp"
"7598,7605","obscure,obscure","zatemnit,obskurní","əbskjˈʊɹ,əbskjˈʊɹ"
"7682,8484,8485","lapse,lapse,lapse","chyba,selhat,chyba","lˈæps,lˈæps,lˈæps"
"7690,7691","twitch,twitch","škubnutí,trhnout","twˈɪtʃ,twˈɪtʃ"
"7700,7701","bribe,bribe","úplatek,uplácet","bɹˈaɪb,bɹˈaɪb"
"7733,7772","gape,gape","zívat,okounět","ɡˈeɪp,ɡˈeɪp"
"7747,7942","clutch,clutch","spojka,sevřít","klˈʌtʃ,klˈʌtʃ"
"7761,7762","grounds,grounds","důvody,pozemky","ɡɹˈaʊndz,ɡɹˈaʊndz"
"7805,7806","tinker,tinker","dráteník,fušovat","tˈɪŋkɚ,tˈɪŋkɚ"
"7829,7846","chill,chill","chladit,chlad","tʃˈɪl,tʃˈɪl"
"7856,7866","torment,torment","trápení,trápit","tˈɔːɹmɛnt,tˈɔːɹmɛnt"
"7861,7862","elaborate,elaborate","rozpracovat,propracovaný","ᵻlˈæbɚɹˌeɪt,ᵻlˈæbɚɹˌeɪt"
"7903,7910","con,con","ošidit,podvod","kˈɑːn,kˈɑːn"
"7951,7952","dismay,dismay","vyděsit,zděšení","dɪsmˈeɪ,dɪsmˈeɪ"
"8036,8046","rumble,rumble","rachotit,rachot","ɹˈʌmbəl,ɹˈʌmbəl"
"8096,8097","sacrifice,sacrifice","obětovat,oběť","sˈækɹᵻfˌaɪs,sˈækɹᵻfˌaɪs"
"8101,8117","plaster,plaster","omítka,omítat","plˈæstɚ,plˈæstɚ"
"8136,8330","plunge,plunge","výpad,ponořit se","plˈʌndʒ,plˈʌndʒ"
"8142,8143","charter,charter","pronájem,charta","tʃˈɑːɹɾɚ,tʃˈɑːɹɾɚ"
"8169,8198","sprout,sprout","výhonek,pučet","spɹˈaʊt,spɹˈaʊt"
"8223,8699,9380","envisage,envisage,envisage","předpokládat,předvídat,předvídat","ɛnvˈɪzɪdʒ,ɛnvˈɪzɪdʒ,ɛnvˈɪzɪdʒ"
"8347,8348","numb,numb","otupit,otupělý","nˈʌm,nˈʌm"
"8361,8362","hack,hack","zaseknout,zásek","hˈæk,hˈæk"
"8370,8372","rustle,rustle","šustit,šustění","ɹˈʌsəl,ɹˈʌsəl"
"8400,8401","stray,stray","loudit,zbloudilý","stɹˈeɪ,stɹˈeɪ"
"8410,8411","slack,slack","flákat se,ochablý","slˈæk,slˈæk"
"8430,8431","tangle,tangle","zamotat,spleť","tˈæŋɡəl,tˈæŋɡəl"
"8452,8497","relapse,relapse","relapsu,recidivovat","ɹᵻlˈæps,ɹᵻlˈæps"
"8465,8467","batter,batter","tlouci,těsto","bˈæɾɚ,bˈæɾɚ"
"8495,8496","prop,prop","opírat,podpěra","pɹˈɑːp,pɹˈɑːp"
"8502,8504","gush,gush","tryskat,příval","ɡˈʌʃ,ɡˈʌʃ"
"8520,8521","strap,strap","připoutat,popruh","stɹˈæp,stɹˈæp"
"8537,8538","convict,convict","odsoudit,odsouzenec","kˈɑːnvɪkt,kˈɑːnvɪkt"
"8543,8544","fiddle,fiddle","housle,houslit","fˈɪdəl,fˈɪdəl"
"8558,8559","recess,recess","odložit,výklenek","ɹˈiːsɛs,ɹˈiːsɛs"
"8569,8570","fanatic,fanatic","fanatický,fanatik","fɐnˈæɾɪk,fɐnˈæɾɪk"
"8571,8572","premier,premier","premiový,premiér","pɹəmˈɪɹ,pɹəmˈɪɹ"
"8659,8667","echo,echo","echo,ozývat se","ˈɛkoʊ,ˈɛkoʊ"
"8708,8709","brood,brood","mláďata,dumat","bɹˈuːd,bɹˈuːd"
"8711,8712","blight,blight","mařit,plíseň","blˈaɪt,blˈaɪt"
"8735,8736","quiver,quiver","toulec,třást se","kwˈɪvɚ,kwˈɪvɚ"
"8781,8838","dribble,dribble","kapat,driblovat","dɹˈɪbəl,dɹˈɪbəl"
"8936,8937","huddle,huddle","shluk,tulit se","hˈʌdəl,hˈʌdəl"
"8983,9008","trifle,trifle","zahrávat si,maličkost","tɹˈaɪfəl,tɹˈaɪfəl"
"9103,9104","rebuke,rebuke","pokárání,pokárat","ɹᵻbjˈuːk,ɹᵻbjˈuːk"
"9214,9215","diffuse,diffuse","rozptýlit,šířit","dᵻfjˈuːz,dᵻfjˈuːz"
"9353,9354","repose,repose","odpočinek,odpočívat","ɹᵻpˈoʊz,ɹᵻpˈoʊz"
"9403,9404","conjecture,conjecture","dohad,domnívat se","kəndʒˈɛktʃɚ,kəndʒˈɛktʃɚ"
"9460,9461","merit,merit","zásluhy,zasloužit si","mˈɛɹɪt,mˈɛɹɪt"
"9539,9540","herald,herald","hlasatel,ohlašovat","hˈɛɹəld,hˈɛɹəld"
"9553,9583","rebound,rebound","odraz,odskočit","ɹᵻbˈaʊnd,ɹᵻbˈaʊnd"
"9556,9557","perch,perch","hřad,okoun","pˈɜːtʃ,pˈɜːtʃ"
